"1","g001","1","100","1-1-2017 "
"2","g001","2","207","1-1-2017 "
"3","g001","3","308","1-1-2017 "
"4","g001","4","409","1-1-2017 "
"5","g001","5","500","1-1-2017 "
"6","g001","6","60","1-1-2017 "
"7","g001","7","70","1-1-2017 "
"8","g001","8","80","1-1-2017 "
"9","g001","9","90","1-1-2017 "
"10","g001","10","100","1-1-2017 "
"11","g001","1","20","2-1-2017 "
"12","g001","2","30","2-1-2017 "
"13","g001","3","40","2-1-2017 "
"14","g001","4","50","2-1-2017 "
"15","g001","5","90","2-1-2017 "
"16","g001","6","5","2-1-2017 "
"17","g001","7","0","2-1-2017 "
"18","g001","8","0","2-1-2017 "
"19","g001","9","0","2-1-2017 "
"20","g001","10","0","2-1-2017 "
"21","g001","1","60","3-1-2017 "
"22","g001","2","70","3-1-2017 "
"23","g001","3","80","3-1-2017 "
"24","g001","4","90","3-1-2017 "
"25","g001","5","100","3-1-2017 "
"26","g001","6","0","3-1-2017 "
"27","g001","7","0","3-1-2017 "
"28","g001","8","0","3-1-2017 "
"29","g001","9","0","3-1-2017 "
"30","g001","10","0","3-1-2017 "
"31","g001","1","10","5-1-2017 "
"32","g001","2","90","5-1-2017 "
"33","g001","3","80","5-1-2017 "
"34","g001","4","70","5-1-2017 "
"35","g001","5","6","5-1-2017 "
"36","g001","6","50","5-1-2017 "
"37","g001","7","40","5-1-2017 "
"38","g001","8","30","5-1-2017 "
"39","g001","9","2","5-1-2017 "
"40","g001","10","10","5-1-2017 "
"41","g001","1","0","4-1-2017 "
"42","g001","2","10","4-1-2017 "
"43","g001","3","0","4-1-2017 "
"44","g001","4","0","4-1-2017 "
"45","g001","5","0","4-1-2017 "
"46","g001","6","0","4-1-2017 "
"47","g001","7","0","4-1-2017 "
"48","g001","8","0","4-1-2017 "
"49","g001","9","0","4-1-2017 "
"50","g001","10","0","4-1-2017 "
"51","g001","1","101","6-1-2017 "
"52","g001","2","50","6-1-2017 "
"53","g001","3","50","6-1-2017 "
"54","g001","4","60","6-1-2017 "
"55","g001","5","11","6-1-2017 "
"56","g001","6","0","6-1-2017 "
"57","g001","7","0","6-1-2017 "
"58","g001","8","0","6-1-2017 "
"59","g001","9","0","6-1-2017 "
"60","g001","10","0","6-1-2017 "
"61","g001","1","1000559","8-1-2017 "
"62","g001","2","2000655","8-1-2017 "
"63","g001","3","2600","8-1-2017 "
"64","g001","4","2091","8-1-2017 "
"65","g001","5","60020","8-1-2017 "
"66","g001","6","609","8-1-2017 "
"67","g001","7","70","8-1-2017 "
"68","g001","8","80","8-1-2017 "
"69","g001","9","25","8-1-2017 "
"70","g001","10","61","8-1-2017 "
"71","g001","1","89","9-1-2017 "
"72","g001","2","203","9-1-2017 "
"73","g001","3","1033","9-1-2017 "
"74","g001","4","201","9-1-2017 "
"75","g001","5","20","9-1-2017 "
"76","g001","6","100","9-1-2017 "
"77","g001","7","90","9-1-2017 "
"78","g001","8","0","9-1-2017 "
"79","g001","9","0","9-1-2017 "
"80","g001","10","49","9-1-2017 "
"81","g001","1","100","7-1-2017 "
"82","g001","2","100","7-1-2017 "
"83","g001","3","200","7-1-2017 "
"84","g001","4","0","7-1-2017 "
"85","g001","5","0","7-1-2017 "
"86","g001","6","0","7-1-2017 "
"87","g001","7","0","7-1-2017 "
"88","g001","8","0","7-1-2017 "
"89","g001","9","0","7-1-2017 "
"90","g001","10","0","7-1-2017 "
